InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
C536381,82804.0,Product 82804,55.0,2011-07-25 02:14:00,46.18,16016.0,France,2539.9
536439,78364.0,Product 78364,61.0,2011-11-01 01:08:00,20.43,17193.0,Germany,1246.23
536412,76780.0,Product 76780,24.0,2011-08-08 16:41:00,19.88,15654.0,Australia,477.12
536378,84367.0,Product 84367,50.0,2011-04-03 13:14:00,30.6,15724.0,Germany,1530.0
536365,77987.0,Product 77987,54.0,2011-11-14 01:26:00,13.09,13471.0,Germany,706.86
536416,77363.0,Product 77363,54.0,2011-10-26 13:47:00,34.36,15190.0,Norway,1855.44
536414,74250.0,Product 74250,77.0,2011-09-21 21:02:00,1.41,16346.0,Norway,108.57
536440,78774.0,Product 78774,85.0,2011-01-20 16:41:00,19.97,14249.0,Germany,1697.4499999999998
536464,73641.0,Product 73641,68.0,2011-10-04 11:14:00,28.23,15122.0,Australia,1919.64
536460,83300.0,Product 83300,27.0,2011-04-26 16:17:00,3.18,14531.0,Norway,85.86
536428,74173.0,Product 74173,84.0,2010-12-07 18:31:00,16.12,15236.0,United Kingdom,1354.0800000000002
536366,84473.0,Product 84473,37.0,2011-03-16 00:16:00,7.33,15096.0,Australia,271.21
536379,80174.0,Product 80174,11.0,2011-05-14 16:48:00,41.83,14859.0,United Kingdom,460.13
536433,74015.0,Product 74015,19.0,2011-05-22 15:57:00,5.23,15850.0,Norway,99.37
536413,,Product UnknownStockCode,37.0,2011-03-22 13:49:00,39.97,17808.0,Norway,1478.89
536406,74953.0,Product 74953,90.0,2011-09-26 03:09:00,1.13,14195.0,Australia,101.7
536395,75941.0,Product 75941,85.0,2011-10-24 00:44:00,27.91,17913.0,France,2372.35
536374,78004.0,Product 78004,95.0,2011-04-28 05:05:00,25.07,13494.0,France,2381.65
536459,81394.0,Product 81394,78.0,2011-07-22 07:30:00,19.18,16944.0,United Kingdom,1496.04
536378,82514.0,Product 82514,14.0,2011-07-20 09:26:00,11.38,14798.0,France,159.32000000000002
C536440,76760.0,Product 76760,45.0,2011-04-16 06:24:00,4.06,14960.0,Australia,182.7
536425,74787.0,Product 74787,79.0,2011-09-16 01:33:00,14.51,13705.0,United Kingdom,1146.29
536443,71671.0,Product 71671,12.0,2011-04-08 16:43:00,40.55,17509.0,France,486.6
536369,74336.0,Product 74336,9.0,2011-09-25 14:20:00,29.29,14849.0,Germany,263.61
536452,75192.0,Product 75192,82.0,2011-08-18 11:07:00,27.22,16777.0,Norway,2232.04
536410,83892.0,Product 83892,25.0,2011-12-08 05:26:00,6.8,14267.0,Norway,170.0
536437,71988.0,Product 71988,97.0,2011-02-16 23:15:00,36.28,14240.0,Germany,3519.1600000000003
536453,82256.0,Product 82256,18.0,2011-11-11 22:06:00,16.52,17101.0,Norway,297.36
536450,79901.0,Product 79901,18.0,2011-01-16 20:59:00,25.53,17263.0,Norway,459.54
536396,71242.0,Product 71242,22.0,2011-09-11 13:23:00,31.55,13656.0,Norway,694.1
536398,76951.0,Product 76951,94.0,2011-08-07 05:16:00,34.16,14950.0,Germany,3211.0399999999995
536388,80619.0,Product 80619,13.0,2011-09-08 03:39:00,2.05,14320.0,Germany,26.65
536409,76764.0,Product 76764,72.0,2011-07-07 13:52:00,43.05,14916.0,Norway,3099.6
536456,72076.0,Product 72076,41.0,2011-05-26 16:45:00,40.91,16037.0,France,1677.31
536392,81688.0,Product 81688,14.0,2011-01-30 04:04:00,37.86,17135.0,Norway,530.04
536458,74373.0,Product 74373,44.0,2011-09-07 12:31:00,32.91,16448.0,France,1448.04
536432,72357.0,Product 72357,92.0,2011-05-12 02:50:00,49.4,16805.0,Australia,4544.8
536381,78433.0,Product 78433,83.0,2011-08-27 14:59:00,36.05,16125.0,France,2992.15
536436,72308.0,Product 72308,59.0,2011-04-08 17:47:00,22.84,13622.0,Norway,1347.56
